0,0,0
6.35156,2.375,1.11719
5.15625,2.49219,1.03906
4.17969,2.24219,0.74219
5.36719,1.83594,1.14063
4.14063,1.84375,1.13281
4.08594,0.5625,1.16406
2.26563,2.21875,1.07813
4.53906,1.92188,0.92969
4.32813,1.58594,0.70313
3.53125,3.1875,0.98438
3.35938,2.44531,0.64063
2.39844,2.55469,1.28125
4.84375,2.01563,1.46094
5.22656,2.0625,0.90625
2.26563,2.13281,1.22656
3.92188,2.10156,0.89063
3.28906,2.27344,1.375
4.60156,2.13281,1.14063
4.15625,3.25,1.45313
4.21875,2.00781,0.83594
3.57031,2.27344,1.26563
5.60156,2.39063,1.07813
3.39063,1.76563,0.9375
5.17969,2.38281,1.21875
4,2.07813,1.24219
3.22656,1.85938,1.19531
3.20313,2.35156,0.89844
4.75,3.33594,0.92188
5.46094,2.19531,1.27344
4.32031,1.94531,1.04688
4.98438,1.74219,1.07031
2.64063,1.61719,1.30469
4.51563,1.13281,0.91406
4.11719,2.09375,0.95313
3.53906,1.57813,0.88281
6.29688,1.78125,1.11719
4.17188,3.0625,0.97656
4.08594,1.64063,1.08594
3.54688,1.42969,0.96875
2.61719,1.82031,0.64063
6.03906,2.33594,1.39063
3.92969,1.71875,1.09375
6.28125,1.27344,1.41406
5.79688,1.38281,1.09375
7.25,3.23438,0.96094
01.07.8125,1.52344,0.82031
3.99219,2.10156,0.71094
2.88281,2.15625,1.11719
3.75,1.67969,0.97656
3.88281,1.20313,0.95313
01.03.4375,1.79688,0.79688
5.14063,1.82813,0.85938
4.66406,2.19531,1.21875
4.66406,2.19531,1.21875
4.63281,2.15625,1.32813
4.63281,2.15625,1.32813
4.64844,1.97656,1.02344
4.64844,1.97656,1.02344
5.35938,2.41406,1.26563
5.35938,2.41406,1.26563
5.60156,2.57813,1.01563
5.60156,2.57813,1.01563
3.38281,1.16406,1.14063
3.38281,1.16406,1.14063
4.27344,1.60156,1.00781
4.27344,1.60156,1.00781
4.51563,2.02344,0.98438
4.51563,2.02344,0.98438
